Index,Klasifikasi
138698,Lainnya
209304,Kesehatan
105790,Lainnya
246449,Kesehatan
240536,Kesehatan
140973,Lainnya
222416,Kesehatan
215060,Kesehatan
201458,Pendidikan
263497,Lainnya
119019,Pendidikan
302975,Kesehatan
23028,Lainnya
29289,Pendidikan
2296,Pendidikan
123294,Lainnya
249455,Pendidikan
152451,Pendidikan
53332,Kesehatan
98487,Kesehatan
10681,Pendidikan
258826,Kesehatan
292637,Kesehatan
128628,Kesehatan
310753,Lainnya
97534,Lainnya
140990,Pendidikan
131508,Pendidikan
205715,Lainnya
149786,Pendidikan
304187,Lainnya
148444,Pendidikan
10766,Pendidikan
98882,Lainnya
288583,Kesehatan
27637,Lainnya
266630,Pendidikan
160989,Pendidikan
155134,Lainnya
31020,Lainnya
178083,Lainnya
20423,Lainnya
260602,Pendidikan
94103,Pendidikan
74881,Pendidikan
75857,Pendidikan
213564,Pendidikan
13297,Kesehatan
290693,Lainnya
271988,Lainnya
248797,Lainnya
45143,Pendidikan
214948,Pendidikan
55289,Kesehatan
205911,Kesehatan
187504,Lainnya
59120,Kesehatan
132952,Lainnya
170020,Pendidikan
58622,Lainnya
54706,Lainnya
302380,Pendidikan
26430,Kesehatan
262599,Lainnya
115747,Kesehatan
198199,Pendidikan
136385,Kesehatan
96098,Kesehatan
6543,Pendidikan
173195,Lainnya
8313,Pendidikan
75846,Pendidikan
261641,Lainnya
104723,Lainnya
206218,Pendidikan
204856,Kesehatan
19597,Kesehatan
77675,Kesehatan
299169,Kesehatan
290621,Pendidikan
29352,Lainnya
171139,Pendidikan
306468,Lainnya
224960,Pendidikan
201349,Pendidikan
222149,Lainnya
104775,Kesehatan
215325,Kesehatan
253756,Kesehatan
323993,Lainnya
261960,Kesehatan
155592,Lainnya
64470,Kesehatan
27706,Lainnya
257770,Lainnya
312229,Pendidikan
253264,Pendidikan
72409,Pendidikan
30723,Lainnya
116937,Kesehatan
201230,Kesehatan
282749,Lainnya
18634,Kesehatan
132531,Kesehatan
132659,Pendidikan
108156,Pendidikan
121064,Lainnya
236715,Lainnya
311760,Kesehatan
259966,Kesehatan
28853,Lainnya
299572,Lainnya
222653,Kesehatan
143050,Lainnya
153758,Lainnya
208663,Pendidikan
289786,Kesehatan
249558,Kesehatan
142429,Lainnya
301220,Lainnya
254409,Lainnya
185669,Pendidikan
57281,Lainnya
214203,Kesehatan
312251,Kesehatan
216717,Lainnya
188708,Kesehatan
72786,Pendidikan
307057,Kesehatan
154963,Kesehatan
300467,Kesehatan
57822,Lainnya
87462,Lainnya
293090,Lainnya
224462,Pendidikan
195552,Pendidikan
201350,Lainnya
24897,Lainnya
165602,Kesehatan
279151,Kesehatan
284752,Lainnya
200875,Pendidikan
273322,Kesehatan
106875,Lainnya
221591,Kesehatan
59190,Pendidikan
280651,Kesehatan
266584,Kesehatan
230625,Lainnya
222609,Kesehatan
293022,Kesehatan
70276,Lainnya
205770,Lainnya
259217,Pendidikan
175480,Lainnya
6628,Kesehatan
86285,Lainnya
91636,Lainnya
65731,Pendidikan
47802,Lainnya
295228,Lainnya
245505,Pendidikan
210811,Pendidikan
62860,Lainnya
273912,Pendidikan
262345,Pendidikan
216964,Lainnya
55077,Lainnya
35563,Lainnya
157003,Lainnya
43335,Pendidikan
131007,Kesehatan
21142,Lainnya
